"collection1"
"Facility Name","Type","Health Facility Code","Classification","Street Name and #","Zip Code","Region","Province","City/Municipality","Barangay Name","Landline Number","index","url"
"MURPHY SUPER HEALTH CENTER","Rural Health Unit","13","Government","2ND FLOOR 18TH AVENUE","","NATIONAL CAPITAL REGION (NCR)","NCR, SECOND DISTRICT (Not a Province)","QUEZON CITY","SAN ROQUE","","1","http://nhfr.doh.gov.ph/rfacilities2list.php?x_regcode=13&z_regcode=LIKE&x_statflag=A&z_statflag=LIKE&start=1"
"BERNARDO HEALTH CENTER","Rural Health Unit","21","Government","ERMIN GARCIA STREET","","NATIONAL CAPITAL REGION (NCR)","NCR, SECOND DISTRICT (Not a Province)","QUEZON CITY","PINAGKAISAHAN","","2","http://nhfr.doh.gov.ph/rfacilities2list.php?x_regcode=13&z_regcode=LIKE&x_statflag=A&z_statflag=LIKE&start=1"
"SAUYO HEALTH CENTER","Rural Health Unit","22","Government","GREENVILLE SUBDIVISION","","NATIONAL CAPITAL REGION (NCR)","NCR, SECOND DISTRICT (Not a Province)","QUEZON CITY","SAUYO","+63 024532625","3","http://nhfr.doh.gov.ph/rfacilities2list.php?x_regcode=13&z_regcode=LIKE&x_statflag=A&z_statflag=LIKE&start=1"
"PAYATAS B HEALTH CENTER","Rural Health Unit","102","Government","17 BULACAN STREET","","NATIONAL CAPITAL REGION (NCR)","NCR, SECOND DISTRICT (Not a Province)","QUEZON CITY","PAYATAS","","4","http://nhfr.doh.gov.ph/rfacilities2list.php?x_regcode=13&z_regcode=LIKE&x_statflag=A&z_statflag=LIKE&start=1"
"BAGONG SILANGAN HEALTH CENTER","Rural Health Unit","138","Government","A. BONIFACIO STREET","","NATIONAL CAPITAL REGION (NCR)","NCR, SECOND DISTRICT (Not a Province)","QUEZON CITY","BAGONG SILANGAN","","5","http://nhfr.doh.gov.ph/rfacilities2list.php?x_regcode=13&z_regcode=LIKE&x_statflag=A&z_statflag=LIKE&start=1"
"KALAYAAN HEALTH CENTER","Rural Health Unit","140","Government","97 GUIRAYAN STREET","","NATIONAL CAPITAL REGION (NCR)","NCR, SECOND DISTRICT (Not a Province)","QUEZON CITY","DO??A IMELDA","","6","http://nhfr.doh.gov.ph/rfacilities2list.php?x_regcode=13&z_regcode=LIKE&x_statflag=A&z_statflag=LIKE&start=1"
"VETERANS HEALTH CENTER","Rural Health Unit","145","Government","6 FAUSTINO STREET","","NATIONAL CAPITAL REGION (NCR)","NCR, SECOND DISTRICT (Not a Province)","QUEZON CITY","HOLY SPIRIT","","7","http://nhfr.doh.gov.ph/rfacilities2list.php?x_regcode=13&z_regcode=LIKE&x_statflag=A&z_statflag=LIKE&start=1"
"SANTOLAN SUPER HEALTH CENTER","Rural Health Unit","177","Government","EVANGELISTA STREET","","NATIONAL CAPITAL REGION (NCR)","NCR, SECOND DISTRICT (Not a Province)","CITY OF PASIG","SANTOLAN","","8","http://nhfr.doh.gov.ph/rfacilities2list.php?x_regcode=13&z_regcode=LIKE&x_statflag=A&z_statflag=LIKE&start=1"
"DELA PAZ HEALTH CENTER","Rural Health Unit","178","Government","F. MARIANO COMPREY LANE STREET","","NATIONAL CAPITAL REGION (NCR)","NCR, SECOND DISTRICT (Not a Province)","CITY OF PASIG","DELA PAZ","+63 026452331","9","http://nhfr.doh.gov.ph/rfacilities2list.php?x_regcode=13&z_regcode=LIKE&x_statflag=A&z_statflag=LIKE&start=1"
"BARANGKA ILAYA HEALTH CENTER","Rural Health Unit","196","Government","PINATUBO STREET","","NATIONAL CAPITAL REGION (NCR)","NCR, SECOND DISTRICT (Not a Province)","CITY OF MANDALUYONG","BARANGKA ILAYA","+63 025146477","10","http://nhfr.doh.gov.ph/rfacilities2list.php?x_regcode=13&z_regcode=LIKE&x_statflag=A&z_statflag=LIKE&start=1"
