Facility Name,Type,Health Facility Code,Classification,Street Name and #,Zip Code,Region,Province,City/Municipality,Barangay Name,Landline Number
MURPHY SUPER HEALTH CENTER,Rural Health Unit,13,Government,2ND FLOOR 18TH AVENUE,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,SAN ROQUE,
BERNARDO HEALTH CENTER,Rural Health Unit,21,Government,ERMIN GARCIA STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,PINAGKAISAHAN,
SAUYO HEALTH CENTER,Rural Health Unit,22,Government,GREENVILLE SUBDIVISION,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,SAUYO,+63 024532625
PAYATAS B HEALTH CENTER,Rural Health Unit,102,Government,17 BULACAN STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,PAYATAS,
BAGONG SILANGAN HEALTH CENTER,Rural Health Unit,138,Government,A. BONIFACIO STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,BAGONG SILANGAN,
KALAYAAN HEALTH CENTER,Rural Health Unit,140,Government,97 GUIRAYAN STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,DO??A IMELDA,
VETERANS HEALTH CENTER,Rural Health Unit,145,Government,6 FAUSTINO STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,HOLY SPIRIT,
SANTOLAN SUPER HEALTH CENTER,Rural Health Unit,177,Government,EVANGELISTA STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,SANTOLAN,
DELA PAZ HEALTH CENTER,Rural Health Unit,178,Government,F. MARIANO COMPREY LANE STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,DELA PAZ,+63 026452331
BARANGKA ILAYA HEALTH CENTER,Rural Health Unit,196,Government,PINATUBO STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MANDALUYONG,BARANGKA ILAYA,+63 025146477
CONCEPCION DOS HEALTH CENTER,Rural Health Unit,197,Government,CORNER LILAC STREET AND RAINBOW STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MARIKINA,CONCEPCION DOS,+63 029420563
MAYOR MOISES R. FLORES MEMORIAL HEALTH CENTER,Rural Health Unit,199,Government,P. HERRERA STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",PATEROS,SAN PEDRO,+63 026433486
PEOPLE'S HEALTH CENTER AND LYING IN CLINIC,Rural Health Unit,200,Government,SAN JOSE STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MANDALUYONG,HULO,
QUINTIN DE BORJA HEALTH CENTER,Rural Health Unit,201,Government,E. QUIOGUE STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",PATEROS,AGUHO,+63 026424783
TAÑONG HEALTH CENTER,Rural Health Unit,202,Government,ROAD 1,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MARIKINA,TAÑONG,+63 029485775
BABARAN-ECHAVEZ MEDICAL & PSYCHIATRIC CLINIC,Hospital,394,Private,1125 AMPARO STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MUNTINLUPA,POBLACION,+63 028613066
ALABANG MEDICAL CENTER,Hospital,403,Private,ALABANG-ZAPOTE ROAD,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MUNTINLUPA,ALABANG,+63 028508719
ASIAN HOSPITAL AND MEDICAL CENTER,Hospital,410,Private,"2205 CIVIC DRIVE, FILINVEST CORPORATE CITY",,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MUNTINLUPA,ALABANG,+63 027719000
BAESA ADVENT POLYCLINIC & GENERAL HOSPITAL,Hospital,416,Private,"238 RETIRO STREET, BAESA ROAD 1400",,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",KALOOKAN CITY,BARANGAY 158,
BERMUDEZ POLYMEDIC HOSPITAL,Hospital,429,Private,"391 MALARIA ROAD, ZONE 6 DISTRICT 1 TALA",,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",KALOOKAN CITY,BARANGAY 185,+63 029613229
BERNARDINO GENERAL HOSPITAL II,Hospital,430,Private,"BLOCK 1, LOT 2, NORTH OLYMPUS SUBDIVISION, ZABARTE ROAD",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,KALIGAYAHAN,+63 029355262
CASAUL GENERAL HOSPITAL INC.,Hospital,443,Private,16 TANDANG SORA AVENUE,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,SANGANDAAN,+63 029301190
CHINESE GENERAL HOSPITAL AND MEDICAL CENTER,Hospital,446,Private,286 BLUMENTRIT STREET,1003,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",SANTA CRUZ,BARANGAY 372,+63 027114141
CHRIST THE KING GENERAL HOSPITAL,Hospital,447,Private,130 REAL STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF LAS PIAS,PAMPLONA UNO,+63 028731119
CRUZ-DALIDA MATERNITY HOSPITAL,Hospital,462,Private,"1025 F. SALVADOR, JORDAN PLAINS",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,SANTA MONICA,+63 024174080
DE OCAMPO MEMORIAL MEDICAL CENTER,Hospital,469,Private,2921 NAGTAHAN STREET SANTA MESA,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",CITY OF MANILA,,+63 027151891
"DR. FE DEL MUNDO CENTER FOUNDATIONS PHILS., INC.",Hospital,493,Private,11 BANAWE STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,DO??A JOSEFA,+63 027120845
DR. JESUS C. DELGADO MEMORIAL HOSPITAL,Hospital,496,Private,7 KAMUNING ROAD,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,KAMUNING,+63 029244051
DR. JOSE FABELLA MEMORIAL HOSPITAL,Hospital,499,Government,LOPE DE VEGA STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",SANTA CRUZ,BARANGAY 311,+63 027345561
DR. JOSE N. RODRIGUEZ MEMORIAL HOSPITAL,Hospital,502,Government,DR. UYGUANCO AVENUE,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",KALOOKAN CITY,BARANGAY 188,+63 029628209
DR. MIRANDO C. UNCIANO SR. MEDICAL CENTER,Hospital,507,Private,V. MAPA STREET SANTA MESA,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",CITY OF MANILA,,+63 027167291
DR. MONTANO G. RAMOS HOSPITAL,Hospital,508,Private,46 BUKIDNON STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,RAMON MAGSAYSAY,+63 029276628
DR. SABILI HEALTH SERVICES CORPORATION,Hospital,519,Private,313 GENERAL SANTOS AVENUE,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",TAGUIG,LOWER BICUTAN,+63 028370917
DR. VICTOR R. POTENCIANO MEDICAL CENTER,Hospital,523,Private,163 EDSA,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MANDALUYONG,HIGHWAY HILLS,+63 025314911
D.T. PROTACIO HOSPITAL,Hospital,533,Private,484 QUIRINO AVENUE,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF PARAAQUE,TAMBO,+63 028522953
EAST AVENUE MEDICAL CENTER,Hospital,540,Government,"EAST AVENUE, DILIMAN",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,CENTRAL,+63 024264405
FAIRVIEW GENERAL HOSPITAL,Hospital,546,Private,"LOT 20 FAIRVIEW AVENUE, CORNER MERCURY STREET",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,FAIRVIEW,+63 029399689
GEN MIGUEL M. MALVAR MEDICAL FOUNDATION,Hospital,550,Private,531 COMMONWEALTH AVENUE,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,MATANDANG BALARA,
HOSPITAL OF THE INFANT JESUS,Hospital,572,Private,1556 LAON - LAAN STREET,1008,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",SAMPALOC,,+63 027312771
JAVILLONAR CLINIC & HOSPITAL,Hospital,581,Private,#73 DR. PILAPIL STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,SAGAD,+63 026412303
JESUS IMMACULATE CONCEPCION HOSPITAL,Hospital,582,Private,"KATIPUNAN AVE., MARIKINA HEIGHTS. SUBD.",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MARIKINA,MARIKINA HEIGHTS (CONCEPCION),+63 029400419
JOHN PAUL HOSPITAL,Hospital,585,Private,MARIANO PONCE COR. TIRAD PASS STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",KALOOKAN CITY,BARANGAY 135,+63 023618959
JOSE R. REYES MEMORIAL MEDICAL CENTER,Hospital,586,Government,"SAN LAZARO COMPOUND, RIZAL AVENUE",1003,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",SANTA CRUZ,BARANGAY 311,+63 027119491
KC CALDERON HOSPITAL,Hospital,600,Private,,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,HEN. T. DE LEON,+63 022913721
"LADY OF LOURDES HOSPITAL OF CAYBIGA, INC.",Hospital,608,Private,GEN. LUIS STREET CAYBIGA,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",KALOOKAN CITY,BARANGAY 166,+63 029835582
"LAS PIÑAS DOCTORS HOSPITAL, INC.",Hospital,614,Private,"8009 J.I. AGUILAR AVENUE, CAA ROAD",,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF LAS PIAS,PULANG LUPA DOS,+63 028255236
LAS PIÑAS GENERAL HOSPITAL AND SATELLITE TRAUMA CENTER,Hospital,615,Government,"BERNABE COMPOUND, REAL STREET",,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF LAS PIAS,PULANG LUPA UNO,+63 028730557
MAKATI MEDICAL CENTER,Hospital,637,Private,"2 AMORSOLO, LEGASPI VILLAGE",,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI,SAN LORENZO,+63 028888999
MARIKINA VALLEY MEDICAL CENTER,Hospital,648,Private,"SUMULONG HIGHWAY, COR. AGUINALDO STREET",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MARIKINA,SANTO NI??O,+63 026822222
"MARY CHILES GENERAL HOSPITAL, INC.",Hospital,650,Private,667 GASTAMBIDE STREET,1008,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",SAMPALOC,BARANGAY 404,+63 027413941
TAGUIG DOCTORS HOSPITAL,Hospital,6084,Private,184 M.L. QUEZON STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",TAGUIG,BAGUMBAYAN,+63 028370178
UNIVERSITY HEALTH SERVICES,Hospital,6092,Government,"J.P. LAUREL AVENUE CORNER APACIBLE & AGONCILLO STREET, UP CAMPUS",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,U.P. CAMPUS,+63 029283608
ARKONG BATO HEALTH CENTER,Rural Health Unit,6097,Government,E. GABRIEL STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,ARKONG BATO,+63 022773748
BAGONG BARRIO ZONE III HEALTH CENTER,Rural Health Unit,6100,Government,"207 EAST BAGONG BARRIO, MALOLOS AVE.",,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",KALOOKAN CITY,BARANGAY 157,
BAGONG SILANG PHASE I HEALTH CENTER,Rural Health Unit,6101,Government,BAGONG SILANG PHASE 1,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",KALOOKAN CITY,BARANGAY 176,
BAGONG TANYAG HEALTH CENTER,Rural Health Unit,6102,Government,PUROK 4,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",TAGUIG,TANYAG (BAGONG TANYAG),
BO. MAGSAYSAY HEALTH CENTER,Rural Health Unit,6106,Government,300 HERBOSA STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",TONDO I / II,BARANGAY 85,+63 022568124
ONSE HEALTH CENTER,Rural Health Unit,6108,Government,PANGANIBAN STREET,1500,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",SAN JUAN,ONSE,+63 027251202
CAA-B HEALTH CENTER,Rural Health Unit,6109,Government,CORNER RECEIVER STREET/ TIMOG STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF LAS PIAS,B. F. INTERNATIONAL VILLAGE,+63 028297212
D. BELMONTE HEALTH CENTER,Rural Health Unit,6113,Government,1648 P. FLORENTINO STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",SAMPALOC,BARANGAY 478,+63 027313632
DAPITAN HEALTH CENTER,Rural Health Unit,6116,Government,INSTRUCCION CORNER P. MARGAL STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",SAMPALOC,BARANGAY 502,+63 027412078
JOSE VICENCIO HEALTH CENTER,Rural Health Unit,6121,Government,309 A. BAUTISTA STREET PUNTA,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",SANTA ANA,BARANGAY 894,+63 025346807
SANTA CRUZ HEALTH CENTER,Rural Health Unit,6141,Government,1339 KAPITAN ATO,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,SANTA CRUZ,+63 026426723
SINGKAMAS HEALTH CENTER,Rural Health Unit,6146,Government,3816 F. NAZARIO STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI,SINGKAMAS,+63 028953472
WAWANG PULO HEALTH CENTER,Rural Health Unit,6160,Government,F. ANDAYA STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,WAWANG PULO,
E. SANTOS HEALTH CENTER,Rural Health Unit,6428,Government,E. SANTOS STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,PINAGBUHATAN,
PINAGBUHATAN PUERICULTURE CENTER,Rural Health Unit,6429,Government,P.CATTLEYA M.H. DEL PILAR STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,PINAGBUHATAN,
NODADO GENERAL HOSPITAL,Hospital,6502,Private,"CAPTAIN SAMANO STREET AREA A, CAMARIN",,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",KALOOKAN CITY,BARANGAY 175,+63 029628021
SAN JOSE HEALTH CENTER,Rural Health Unit,6547,Government,SITIO II,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MANDALUYONG,SAN JOSE,
MARKVIM HOSPITAL,Hospital,6580,Private,DAHLIA STREET ALAR SUBD.,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",KALOOKAN CITY,BARANGAY 177,+63 029615302
NEWMAN HOMECARE AND REHAB CENTER INC,Hospital,6584,Private,"37 FAIRLANE STREET, CORNER CORONEL STREET",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,,+63 024279405
TONDO MEDICAL CENTER,Hospital,6596,Government,KALAKAL STREET,1012,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",TONDO I / II,BARANGAY 126,+63 022518420
BARITAN HEALTH CENTER,Rural Health Unit,6598,Government,JAVIER II STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF MALABON,BARITAN,
F.Y. MANALO MEDICAL FOUNDATION INC.- NEW ERA GENERAL HOSPITAL,Hospital,6711,Private,"DON MARIANO MARCOS, COMMONWEALTH AVE. COR TANDANG SORA",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,NEW ERA (CONSTITUTION HILLS),+63 029244311
D. SANTIAGO HEALTH CENTER,Rural Health Unit,6723,Government,844 D. SANTIAGO STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",SAMPALOC,,+63 027130848
PLAINVIEW HEALTH CENTER,Rural Health Unit,6850,Government,42 MALAYA STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MANDALUYONG,PLAINVIEW,
OSPITAL NG TONDO,Hospital,6888,Government,JOSE ABAD SANTOS AVENUE,1012,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",TONDO I / II,BARANGAY 215,+63 022519406
SUNSHINE.COM.INC,Hospital,6896,Private,95 4TH STREET NEW MANILA,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,,+63 027217767
LAWANG BATO HEALTH CENTER,Rural Health Unit,6910,Government,CENTRO STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,LAWANG BATO,+63 024452950
MALINTA HEALTH CENTER,Rural Health Unit,6911,Government,SAINT JUDE SUBDIVISION,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,MALINTA,+63 024451406
MAPULANG LUPA HEALTH CENTER (MAIN),Rural Health Unit,6912,Government,SANTO ROSARIO STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,MAPULANG LUPA,+63 029843248
PALASAN HEALTH CENTER,Rural Health Unit,6913,Government,F. LOZADA STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,PALASAN,+63 022779619
EAST REMBO HEALTH CENTER,Rural Health Unit,6986,Government,"MULTIPURPOSE BUILDING, 23RD AVENUE",,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI,EAST REMBO,+63 028833361
F. LANUZA HEALTH CENTER,Rural Health Unit,7021,Government,1533 ALVAREZ STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",SANTA CRUZ,BARANGAY 334,+63 027119872
ESCOPA HEALTH CENTER,Rural Health Unit,7029,Government,J. P. BURGOS STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,ESCOPA I,+63 029138846
SALAPAN HEALTH CENTER,Rural Health Unit,7035,Government,35 J. RUIZ STREET,1500,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",SAN JUAN,SALAPAN,+63 027440346
BALONG BATO HEALTH CENTER,Barangay Health Station,7043,Government,19 F. ROMAN STREET,1500,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",SAN JUAN,BALONG-BATO,+63 027239561
DOÑA BETANG HEALTH CENTER,Rural Health Unit,7062,Government,KALAKHAM CORNER KALUPI STREET DOÑA BETANG SUBDIVISION,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,SANTOLAN,
SAN LORENZO RUIZ WOMEN'S HOSPITAL,Hospital,7064,Government,"ROSITA SUBDIVISION, O. REYES STREET",1478,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF MALABON,SANTOLAN,+63 029448535
"JP SIOSON GENERAL HOSPITAL AND COLLEGES, INC",Hospital,7081,Private,"75 BUKIDNON STREET, BAGO BANTAY",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,RAMON MAGSAYSAY,+63 029275643
KAHILUM HEALTH CENTER,Rural Health Unit,7124,Government,FELIZ STREET KAHILUM I,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",PANDACAN,BARANGAY 870,+63 025648401
PAYATAS A HEALTH CENTER,Rural Health Unit,7146,Government,,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,PAYATAS,
BANLAT HEALTH CENTER,Rural Health Unit,7165,Government,"DAFFODIL STREET, DEL NACIA 1",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,TANDANG SORA,+63 024913362
KAUNLARAN VILLAGE HEALTH CENTER,Rural Health Unit,7250,Government,"BANGUS STREET, PHASE I DAGAT DAGATAN",1409,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",NAVOTAS,"NORTH BAY BLVD., SOUTH",
SANTO NIÑO HEALTH CENTER,Rural Health Unit,7252,Government,"DAHLIA STREET CORNER COL. E, DE LEON STREET",,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF PARAAQUE,SANTO NI??O,+63 028534047
SANTA CRUZ HEALTH CENTER,Rural Health Unit,7253,Government,3942 YAGUE STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI,SANTA CRUZ,+63 028951697
MAYBUNGA FLOODWAY HEALTH CENTER,Rural Health Unit,7254,Government,WESTBANK ROAD CORNER F. LEGASPI EXTENSION,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,MAYBUNGA,
SAN MARTIN DE PORRES HEALTH CENTER,Rural Health Unit,7255,Government,"KM 15, EAST SERVICE ROAD",,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF PARAAQUE,SAN MARTIN DE PORRES,+63 028244043
FAIRVIEW HEALTH CENTER,Rural Health Unit,7256,Government,DAHLIA STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,FAIRVIEW,+63 029300040
SANTOLAN HEALTH CENTER,Rural Health Unit,7257,Government,SAN DIEGO STREET,1478,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF MALABON,SANTOLAN,+63 022814999
NIUGAN HEALTH CENTER,Rural Health Unit,7258,Government,N. VICENCIO STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF MALABON,NIUGAN,
APOLONIO SAMSON HEALTH CENTER,Rural Health Unit,7259,Government,150 KAINGIN ROAD,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,APOLONIO SAMSON,
GULOD HEALTH CENTER,Rural Health Unit,7260,Government,27 VILLAFLOR VILLAGE,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,GULOD,
SAN JOSE HEALTH CENTER,Rural Health Unit,7261,Government,LOPEZ JAENA STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,SAN JOSE,+63 026402355
FLORES HEALTH CENTER,Rural Health Unit,7263,Government,NUEVA STREET,1471,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF MALABON,FLORES,+63 022822227
LONGOS HEALTH CENTER,Rural Health Unit,7264,Government,HITO STREET,1472,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF MALABON,LONGOS,
MUZON HEALTH CENTER,Rural Health Unit,7266,Government,2 KARUNUNGAN STREET,1479,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF MALABON,MUZON,
SAN MIGUEL HEALTH CENTER,Rural Health Unit,7267,Government,MARKET AVENUE,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,SAN MIGUEL,
LA LOMA HEALTH CENTER,Rural Health Unit,7268,Government,225 MARIVELES STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,PAANG BUNDOK,
BAYAN-BAYANAN HEALTH CENTER,Rural Health Unit,7269,Government,117 CELIA STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF MALABON,BAYAN-BAYANAN,
