Service Capability,Region,Province,City,Barangay,Facility Name,,,
N/A,NCR,NCR, THIRD DISTRICT (Not a Province),CITY OF MALABON,SANTOLAN,A. P. CRUZ COMMUNITY HOSPITAL,,
Level 2,NCR,NCR, FOURTH DISTRICT (Not a Province),CITY OF LAS PI�AS,PULANG LUPA UNO,A. ZARATE GENERAL HOSPITAL,,
Level 2,NCR,NCR, THIRD DISTRICT (Not a Province),KALOOKAN CITY,,ACEBEDO GENERAL HOSPITAL,,
Level 3,NCR,NCR, FOURTH DISTRICT (Not a Province),CITY OF MUNTINLUPA,ALABANG,ALABANG MEDICAL CENTER,,
Level 2,NCR,NCR, FOURTH DISTRICT (Not a Province),CITY OF MUNTINLUPA,ALABANG,ALABANG MEDICAL CLINIC,,
Level 2,NCR,NCR, FOURTH DISTRICT (Not a Province),CITY OF LAS PI�AS,TALON UNO,ALABANG MEDICAL CLINIC - LAS PINAS BRANCH,,
Level 2,NCR,NCR, FOURTH DISTRICT (Not a Province),CITY OF MUNTINLUPA,PUTATAN,ALABANG MEDICAL CLINIC - MUNTINLUPA BRANCH,,
Level 2,NCR,NCR, SECOND DISTRICT (Not a Province),CITY OF PASIG,ROSARIO,ALFONSO SPECIALISTS HOSPITAL,,
N/A,NCR,NCR, FOURTH DISTRICT (Not a Province),CITY OF MUNTINLUPA,ALABANG,AMBULANCE,,
Level 2,NCR,NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province),TONDO I / II,,AMISOLA MATERNITY HOSPITAL,
Level 1,NCR,NCR, SECOND DISTRICT (Not a Province),QUEZON CITY,NOVALICHES PROPER,ANN FRANCIS MOTHER AND CHILD HOSPITAL,,
Level 3,NCR,NCR, FOURTH DISTRICT (Not a Province),CITY OF MUNTINLUPA,ALABANG,ASIAN HOSPITAL AND MEDICAL CENTER,,
Level 1,NCR,NCR, FOURTH DISTRICT (Not a Province),CITY OF MUNTINLUPA,POBLACION,BABARAN-ECHAVEZ MEDICAL & PSYCHIATRIC CLINIC,,
Level 1,NCR,NCR, THIRD DISTRICT (Not a Province),KALOOKAN CITY,,BAESA ADVENT POLYCLINIC & GENERAL HOSPITAL,,
Level 2,NCR,NCR, FOURTH DISTRICT (Not a Province),CITY OF MUNTINLUPA,TUNASAN,BEATO-CAUILAN HOSPITAL,,
Level 1,NCR,NCR, THIRD DISTRICT (Not a Province),KALOOKAN CITY,BARANGAY 185,BERMUDEZ POLYMEDIC HOSPITAL,,
Level 3,NCR,NCR, SECOND DISTRICT (Not a Province),QUEZON CITY,NOVALICHES PROPER,BERNARDINO GEN HOSP I,,
Level 2,NCR,NCR, SECOND DISTRICT (Not a Province),QUEZON CITY,NOVALICHES PROPER,BERNARDINO GEN HOSP II,,
Level 1,NCR,NCR, FOURTH DISTRICT (Not a Province),CITY OF LAS PI�AS,TALON SINGKO,CABINTE MATERNITY AND CHILDRENS HOSPITAL,,
Level 2,NCR,NCR, THIRD DISTRICT (Not a Province),CITY OF VALENZUELA,MARULAS,CALALANG GENERAL HOSPITAL,,
Level 1,NCR,NCR, FOURTH DISTRICT (Not a Province),CITY OF LAS PI�AS,TALON UNO,CALLEJO MEDICAL CLINIC,,
Level 4,NCR,NCR, SECOND DISTRICT (Not a Province),QUEZON CITY,SOUTH TRIANGLE,CAPITOL MEDICAL CENTER, INC.,
N/A,NCR,NCR, SECOND DISTRICT (Not a Province),SAN JUAN,GREENHILLS,CARDINAL SANTOS MEDICAL CENTER,,
N/A,NCR,NCR, THIRD DISTRICT (Not a Province),CITY OF VALENZUELA,PALASAN,CARLOS CLINIC,,
Level 3,NCR,NCR, SECOND DISTRICT (Not a Province),QUEZON CITY,NOVALICHES PROPER,CASAUL GENERAL HOSPITAL INC.,,
Level 4,NCR,NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province),SANTA CRUZ,BARANGAY 372,CHINESE GENERAL HOSPITAL AND MEDICAL CENTER,
