,Facility Name,Type,Health Facility Code,Classification,Street Name and #,Zip Code,Region,Province,City/Municipality,Barangay Name,Landline Number,lon,lat
0,MURPHY SUPER HEALTH CENTER,Rural Health Unit,13.0,Government,2ND FLOOR 18TH AVENUE,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,SAN ROQUE,,121.0624861,14.6180619
1,BERNARDO HEALTH CENTER,Rural Health Unit,21.0,Government,ERMIN GARCIA STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,PINAGKAISAHAN,,121.0466567,14.6270333
2,SAUYO HEALTH CENTER,Rural Health Unit,22.0,Government,GREENVILLE SUBDIVISION,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,SAUYO,+63 024532625,121.0364952,14.6873804
3,PAYATAS B HEALTH CENTER,Rural Health Unit,102.0,Government,17 BULACAN STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,PAYATAS,,121.0909847,14.6850205
4,BAGONG SILANGAN HEALTH CENTER,Rural Health Unit,138.0,Government,A. BONIFACIO STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,BAGONG SILANGAN,,121.1411159,14.7328544
5,KALAYAAN HEALTH CENTER,Rural Health Unit,140.0,Government,97 GUIRAYAN STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,DO??A IMELDA,,121.017615,14.615814
6,VETERANS HEALTH CENTER,Rural Health Unit,145.0,Government,6 FAUSTINO STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,HOLY SPIRIT,,121.076231,14.68384
7,SANTOLAN SUPER HEALTH CENTER,Rural Health Unit,177.0,Government,EVANGELISTA STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,SANTOLAN,,121.0872344,14.6121588
8,DELA PAZ HEALTH CENTER,Rural Health Unit,178.0,Government,F. MARIANO COMPREY LANE STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,DELA PAZ,+63 026452331,121.0979963,14.6128898
9,BARANGKA ILAYA HEALTH CENTER,Rural Health Unit,196.0,Government,PINATUBO STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MANDALUYONG,BARANGKA ILAYA,+63 025146477,121.0464101,14.5713386
10,CONCEPCION DOS HEALTH CENTER,Rural Health Unit,197.0,Government,CORNER LILAC STREET AND RAINBOW STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MARIKINA,CONCEPCION DOS,+63 029420563,121.1219626,14.6404751
11,MAYOR MOISES R. FLORES MEMORIAL HEALTH CENTER,Rural Health Unit,199.0,Government,P. HERRERA STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",PATEROS,SAN PEDRO,+63 026433486,121.0658457,14.5454044
12,PEOPLE'S HEALTH CENTER AND LYING IN CLINIC,Rural Health Unit,200.0,Government,SAN JOSE STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MANDALUYONG,HULO,,121.0336163,14.5699611
