FacilityName,Type,HealthFacilityCode,Classification,StreetNameAndNo,ZipCode,BarangayName,LandlineNumber,lon,lat,level,PRCP,BedSpace,OpRoom,RecRoom,MatWard,IsoRoom,dental,blood,pathology,radiology,pharmacy,CMDCDH_2,Spec1,ICU,NICU,HRPU,RTS,TerClin,MobX,Teach_3,PRU,ASC,Dialysis,BBank,Hispa,radiology3,HIVTreat,HIVTest,City
Murphy Super Health Center,Rural Health Unit,13,Government,2Nd Floor 18Th Avenue,0,San Roque,0,121.0624861,14.6180619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Quezon
Bernardo Health Center,Rural Health Unit,21,Government,Ermin Garcia Street,0,Pinagkaisahan,0,121.0466567,14.6270333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Quezon
Sauyo Health Center,Rural Health Unit,22,Government,Greenville Subdivision,0,Sauyo,+63 024532625,121.0364952,14.6873804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Quezon
Payatas B Health Center,Rural Health Unit,102,Government,17 Bulacan Street,0,Payatas,0,121.0909847,14.6850205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Quezon
Bagong Silangan Health Center,Rural Health Unit,138,Government,A. Bonifacio Street,0,Bagong Silangan,0,121.1411159,14.7328544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Quezon
Kalayaan Health Center,Rural Health Unit,140,Government,97 Guirayan Street,0,Do??A Imelda,0,121.017615,14.615814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Quezon
Kalayaan Health Center,Rural Health Unit,140,Government,97 Guirayan Street,0,Do??A Imelda,0,121.017615,14.615814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasay
Kalayaan Health Center,Rural Health Unit,3889,Government,Kalayaan Village,1309,Barangay 201,+63 028223694,121.0292165,14.5074854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Quezon
Kalayaan Health Center,Rural Health Unit,3889,Government,Kalayaan Village,1309,Barangay 201,+63 028223694,121.0292165,14.5074854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasay
Veterans Health Center,Rural Health Unit,145,Government,6 Faustino Street,0,Holy Spirit,0,121.076231,14.68384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Quezon
Santolan Super Health Center,Rural Health Unit,177,Government,Evangelista Street,0,Santolan,0,121.0872344,14.6121588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasig
Dela Paz Health Center,Rural Health Unit,178,Government,F. Mariano Comprey Lane Street,0,Dela Paz,+63 026452331,121.0979963,14.6128898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasig
Barangka Ilaya Health Center,Rural Health Unit,196,Government,Pinatubo Street,0,Barangka Ilaya,+63 025146477,121.0464101,14.5713386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mandaluyong
Concepcion Dos Health Center,Rural Health Unit,197,Government,Corner Lilac Street And Rainbow Street,0,Concepcion Dos,+63 029420563,121.1219626,14.6404751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Marikina
Mayor Moises R. Flores Memorial Health Center,Rural Health Unit,199,Government,P. Herrera Street,0,San Pedro,+63 026433486,121.0658457,14.5454044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pateros
People'S Health Center And Lying In Clinic,Rural Health Unit,200,Government,San Jose Street,0,Hulo,0,121.0336163,14.5699611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mandaluyong
Quintin De Borja Health Center,Rural Health Unit,201,Government,E. Quiogue Street,0,Aguho,+63 026424783,121.0625148,14.543509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pateros
Tañong Health Center,Rural Health Unit,202,Government,Road 1,0,Tañong,+63 029485775,121.0862565,14.632859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Marikina
Tañong Health Center,Rural Health Unit,202,Government,Road 1,0,Tañong,+63 029485775,121.0862565,14.632859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Malabon
Bernardino General Hospital Ii,Hospital,430,Private,"Block 1, Lot 2, North Olympus Subdivision, Zabarte Road",0,Kaligayahan,+63 029355262,121.0475122,14.7370828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Quezon
"Dr. Fe Del Mundo Center Foundations Phils., Inc.",Hospital,493,Private,11 Banawe Street,0,Dona Josefa,+63 027120845,121.0098234,14.6188583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Quezon
Dr. Jose Fabella Memorial Hospital,Hospital,499,Government,Lope De Vega Street,0,Barangay 311,+63 027345561,120.9841125,14.6064958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Manila
Dr. Jose N. Rodriguez Memorial Hospital,Hospital,502,Government,Dr. Uyguanco Avenue,0,Barangay 188,+63 029628209,121.0615081,14.7672921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kalookan
Dr. Sabili Health Services Corporation,Hospital,519,Private,313 General Santos Avenue,0,Lower Bicutan,+63 028370917,121.0575971,14.488807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Taguig
Dr. Victor R. Potenciano Medical Center,Hospital,523,Private,163 Edsa,0,Highway Hills,+63 025314911,121.050232,14.576852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mandaluyong
East Avenue Medical Center,Hospital,540,Government,"East Avenue, Diliman",0,Central,+63 024264405,121.0479354,14.6450291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Quezon
Gen Miguel M. Malvar Medical Foundation,Hospital,550,Private,531 Commonwealth Avenue,0,Matandang Balara,0,121.0786266,14.6713035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Quezon
Jesus Immaculate Concepcion Hospital,Hospital,582,Private,"Katipunan Ave., Marikina Heights. Subd.",0,Marikina Heights (Concepcion),+63 029400419,121.1140247,14.6687369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Marikina
Jose R. Reyes Memorial Medical Center,Hospital,586,Government,"San Lazaro Compound, Rizal Avenue",1003,Barangay 311,+63 027119491,120.9826311,14.6143945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Manila
University Health Services,Hospital,6092,Government,"J.P. Laurel Avenue Corner Apacible & Agoncillo Street, Up Campus",0,U.P. Campus,+63 029283608,121.065041,14.6526624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Quezon
Arkong Bato Health Center,Rural Health Unit,6097,Government,E. Gabriel Street,0,Arkong Bato,+63 022773748,120.9406849,14.6828903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Valenzuela
Bagong Barrio Zone Iii Health Center,Rural Health Unit,6100,Government,"207 East Bagong Barrio, Malolos Ave.",0,Barangay 157,0,121.0007493,14.6679785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kalookan
Bagong Silang Phase I Health Center,Rural Health Unit,6101,Government,Bagong Silang Phase 1,0,Barangay 176,0,121.0382467,14.7841046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kalookan
Bagong Tanyag Health Center,Rural Health Unit,6102,Government,Purok 4,0,Tanyag (Bagong Tanyag),0,121.0525078,14.4771498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Taguig
Bo. Magsaysay Health Center,Rural Health Unit,6106,Government,300 Herbosa Street,0,Barangay 85,+63 022568124,120.965106,14.618403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Manila
Onse Health Center,Rural Health Unit,6108,Government,Panganiban Street,1500,Onse,+63 027251202,121.0317183,14.6009734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,San Juan
D. Belmonte Health Center,Rural Health Unit,6113,Government,1648 P. Florentino Street,0,Barangay 478,+63 027313632,120.99306,14.611897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Manila
Dapitan Health Center,Rural Health Unit,6116,Government,Instruccion Corner P. Margal Street,0,Barangay 502,+63 027412078,120.9965161,14.6171361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Manila
Jose Vicencio Health Center,Rural Health Unit,6121,Government,309 A. Bautista Street Punta,0,Barangay 894,+63 025346807,121.0202502,14.588428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Manila
Singkamas Health Center,Rural Health Unit,6146,Government,3816 F. Nazario Street,0,Singkamas,+63 028953472,121.0113194,14.5734704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Makati
Wawang Pulo Health Center,Rural Health Unit,6160,Government,F. Andaya Street,0,Wawang Pulo,0,120.929543,14.7315426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Valenzuela
E. Santos Health Center,Rural Health Unit,6428,Government,E. Santos Street,0,Pinagbuhatan,0,121.0736275,14.5562995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasig
Pinagbuhatan Puericulture Center,Rural Health Unit,6429,Government,P.Cattleya M.H. Del Pilar Street,0,Pinagbuhatan,0,121.1037701,14.5365375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasig
San Jose Health Center,Rural Health Unit,6547,Government,Sitio Ii,0,San Jose,0,121.0297473,14.581701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mandaluyong
San Jose Health Center,Rural Health Unit,6547,Government,Sitio Ii,0,San Jose,0,121.0297473,14.581701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasig
San Jose Health Center,Rural Health Unit,6547,Government,Sitio Ii,0,San Jose,0,121.0297473,14.581701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Quezon
San Jose Health Center,Rural Health Unit,7261,Government,Lopez Jaena Street,0,San Jose,+63 026402355,121.0665288,12.3508725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mandaluyong
San Jose Health Center,Rural Health Unit,7261,Government,Lopez Jaena Street,0,San Jose,+63 026402355,121.0665288,12.3508725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasig
San Jose Health Center,Rural Health Unit,7261,Government,Lopez Jaena Street,0,San Jose,+63 026402355,121.0665288,12.3508725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Quezon
San Jose Health Center,Rural Health Unit,7289,Government,27 Tinagan Street,0,San Jose,0,120.9944175,14.6395586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mandaluyong
San Jose Health Center,Rural Health Unit,7289,Government,27 Tinagan Street,0,San Jose,0,120.9944175,14.6395586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasig
San Jose Health Center,Rural Health Unit,7289,Government,27 Tinagan Street,0,San Jose,0,120.9944175,14.6395586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Quezon
Newman Homecare And Rehab Center Inc,Hospital,6584,Private,"37 Fairlane Street, Corner Coronel Street",0,0,+63 024279405,121.0437003,14.6760413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Quezon
Baritan Health Center,Rural Health Unit,6598,Government,Javier Ii Street,0,Baritan,0,120.9464209,14.6732472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Malabon
F.Y. Manalo Medical Foundation Inc.- New Era General Hospital,Hospital,6711,Private,"Don Mariano Marcos, Commonwealth Ave. Cor Tandang Sora",0,New Era (Constitution Hills),+63 029244311,121.0934847,14.6938615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Quezon
D. Santiago Health Center,Rural Health Unit,6723,Government,844 D. Santiago Street,0,0,+63 027130848,121.0081167,14.6038271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Manila
Plainview Health Center,Rural Health Unit,6850,Government,42 Malaya Street,0,Plainview,0,121.0358325,14.5766749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mandaluyong
Ospital Ng Tondo,Hospital,6888,Government,Jose Abad Santos Avenue,1012,Barangay 215,+63 022519406,120.9786044,14.6264328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Manila
Sunshine.Com.Inc,Hospital,6896,Private,95 4Th Street New Manila,0,0,+63 027217767,121.0437003,14.6760413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Quezon
Lawang Bato Health Center,Rural Health Unit,6910,Government,Centro Street,0,Lawang Bato,+63 024452950,120.9928627,14.7277013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Valenzuela
