Facility Name,Type,Health Facility Code,Classification,Street Name and #,Zip Code,,Barangay Name,Landline Number,lon,lat,Barangay,level, PRCP, BedSpace, OpRoom, RecRoom, MatWard, IsoRoom, dental, blood, pathology, radiology, pharmacy, CMDCDH_2, Spec1, ICU, NICU, HRPU, RTS, TerClin, MobX, Teach_3, PRU, ASC, Dialysis, BBank, Hispa, radiology3
MURPHY SUPER HEALTH CENTER,Rural Health Unit,13,Government,2ND FLOOR 18TH AVENUE,,QUEZON ,SAN ROQUE,,121.0624861,14.6180619,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BERNARDO HEALTH CENTER,Rural Health Unit,21,Government,ERMIN GARCIA STREET,,QUEZON ,PINAGKAISAHAN,,121.0466567,14.6270333,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAUYO HEALTH CENTER,Rural Health Unit,22,Government,GREENVILLE SUBDIVISION,,QUEZON ,SAUYO,+63 024532625,121.0364952,14.6873804,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAYATAS B HEALTH CENTER,Rural Health Unit,102,Government,17 BULACAN STREET,,QUEZON ,PAYATAS,,121.0909847,14.6850205,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAGONG SILANGAN HEALTH CENTER,Rural Health Unit,138,Government,A. BONIFACIO STREET,,QUEZON ,BAGONG SILANGAN,,121.1411159,14.7328544,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KALAYAAN HEALTH CENTER,Rural Health Unit,140,Government,97 GUIRAYAN STREET,,QUEZON ,DO??A IMELDA,,121.017615,14.615814,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VETERANS HEALTH CENTER,Rural Health Unit,145,Government,6 FAUSTINO STREET,,QUEZON ,HOLY SPIRIT,,121.076231,14.68384,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTOLAN SUPER HEALTH CENTER,Rural Health Unit,177,Government,EVANGELISTA STREET,,PASIG,SANTOLAN,,121.0872344,14.6121588,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DELA PAZ HEALTH CENTER,Rural Health Unit,178,Government,F. MARIANO COMPREY LANE STREET,,PASIG,DELA PAZ,+63 026452331,121.0979963,14.6128898,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARANGKA ILAYA HEALTH CENTER,Rural Health Unit,196,Government,PINATUBO STREET,,MANDALUYONG,BARANGKA ILAYA,+63 025146477,121.0464101,14.5713386,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONCEPCION DOS HEALTH CENTER,Rural Health Unit,197,Government,CORNER LILAC STREET AND RAINBOW STREET,,MARIKINA,CONCEPCION DOS,+63 029420563,121.1219626,14.6404751,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAYOR MOISES R. FLORES MEMORIAL HEALTH CENTER,Rural Health Unit,199,Government,P. HERRERA STREET,,PATEROS,SAN PEDRO,+63 026433486,121.0658457,14.5454044,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEOPLE'S HEALTH CENTER AND LYING IN CLINIC,Rural Health Unit,200,Government,SAN JOSE STREET,,MANDALUYONG,HULO,,121.0336163,14.5699611,,,,,,,,,,,,,,,,,,,,,,,,,,,,
